,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",6381629,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",5261129,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4580877,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3949069,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3375402,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,"What You Know Bout Love","Pop Smoke",3256535,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3215225,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,34+35,"Ariana Grande",2931496,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
9,Hawái,Maluma,2926900,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
10,"WAP (feat. Megan Thee Stallion)","Cardi B",2880154,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"Blinding Lights","The Weeknd",2791983,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"Holy (feat. Chance The Rapper)","Justin Bieber",2667361,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2616966,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Watermelon Sugar","Harry Styles",2568270,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"you broke me first","Tate McRae",2523888,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"Head & Heart (feat. MNEK)","Joel Corry",2411528,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"Relación - Remix",Sech,2128861,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"Put Your Records On","Ritt Momney",2061115,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2009822,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
20,Heather,"Conan Gray",1999827,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
21,"motive (with Doja Cat)","Ariana Grande",1973474,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
22,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1941277,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
23,Wonder,"Shawn Mendes",1910337,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
24,"Se Te Nota (with Guaynaa)","Lele Pons",1852412,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
25,"Someone You Loved","Lewis Capaldi",1843439,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,"La Tóxica",Farruko,1817573,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,"La Nota","Manuel Turizo",1768379,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
28,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1751282,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
29,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1749684,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
30,"Vida de Rico",Camilo,1743418,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
31,"Take You Dancing","Jason Derulo",1737767,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
32,"Levitating (feat. DaBaby)","Dua Lipa",1728201,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
33,"La Curiosidad","Jay Wheeler",1714042,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
34,"Before You Go","Lewis Capaldi",1659216,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
35,"Una Locura",Ozuna,1638884,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
36,"Roses - Imanbek Remix","SAINt JHN",1627691,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
37,Jeans,"Justin Quiles",1620025,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
38,"Breaking Me",Topic,1586571,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
39,"Midnight Sky","Miley Cyrus",1568777,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
40,"Ice Cream (with Selena Gomez)",BLACKPINK,1561866,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
41,"Dance Monkey","Tones And I",1544786,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
42,pov,"Ariana Grande",1512227,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
43,"Ay, DiOs Mío!","KAROL G",1508958,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
44,"Parce (feat. Justin Quiles)",Maluma,1471723,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
45,Despeinada,Ozuna,1468021,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
46,Golden,"Harry Styles",1457767,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
47,"Dreams - 2004 Remaster","Fleetwood Mac",1448546,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
48,"Mi Niña",Wisin,1440881,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
49,"POPSTAR (feat. Drake)","DJ Khaled",1411032,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
50,"off the table (with The Weeknd)","Ariana Grande",1400999,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
51,Daisy,Ashnikko,1397924,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
52,"Lovesick Girls",BLACKPINK,1387255,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
53,Sofia,Clairo,1383489,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
54,"Come & Go (with Marshmello)","Juice WRLD",1371411,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
55,"just like magic","Ariana Grande",1308034,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
56,Diamonds,"Sam Smith",1303275,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
57,"I CAN'T STOP ME",TWICE,1298769,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
58,"Tattoo - Remix with Camilo","Rauw Alejandro",1296264,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
59,"How You Like That",BLACKPINK,1281328,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
60,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1281250,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
61,"Don't Start Now","Dua Lipa",1259556,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
62,"death bed (coffee for your head)",Powfu,1245564,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
63,"La Jeepeta - Remix","Nio Garcia",1240097,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
64,"Tyler Herro","Jack Harlow",1201631,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
65,"Mi Cuarto","Jerry Di",1190365,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
66,"Deep End",Fousheé,1177884,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
67,"Stuck with U (with Justin Bieber)","Ariana Grande",1175708,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
68,"safety net (feat. Ty Dolla $ign)","Ariana Grande",1174425,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
69,BICHOTA,"KAROL G",1161446,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
70,"Rain On Me (with Ariana Grande)","Lady Gaga",1160946,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
71,"Train Wreck","James Arthur",1151281,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
72,Circles,"Post Malone",1149205,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
73,"Blueberry Faygo","Lil Mosey",1148006,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
74,"Chica Ideal","Sebastian Yatra",1133812,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
75,"lovely (with Khalid)","Billie Eilish",1125849,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
76,"Wishing Well","Juice WRLD",1124670,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
77,"Adore You","Harry Styles",1116429,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
78,Memories,"Maroon 5",1109647,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
79,"my ex's best friend (with blackbear)","Machine Gun Kelly",1108905,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
80,Caramelo,Ozuna,1094745,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
81,"Lucid Dreams","Juice WRLD",1083354,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
82,"SO DONE","The Kid LAROI",1079015,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
