,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
83,"shut up","Ariana Grande",1078075,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
84,goosebumps,"Travis Scott",1072231,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
85,nasty,"Ariana Grande",1069301,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
86,Señorita,"Shawn Mendes",1065387,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
87,"Go Crazy","Chris Brown",1058030,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
88,MORE,K/DA,1056000,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
89,"The Box","Roddy Ricch",1038500,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
90,"Mad at Disney","salem ilese",1036234,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
91,Falling,"Trevor Daniel",1015975,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
92,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1013095,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
93,Robbery,"Juice WRLD",992453,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
94,"Tick Tock (feat. 24kGoldn)","Clean Bandit",985596,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
95,"my hair","Ariana Grande",979743,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
96,Fever,"Dua Lipa",977684,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
97,Reloj,"Rauw Alejandro",974455,https://open.spotify.com/track/7r9ZhitdQBONTFOiJW5mr8
98,"Sweater Weather","The Neighbourhood",970923,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
99,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",966526,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
100,"Kings & Queens","Ava Max",962869,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
101,"HIGHEST IN THE ROOM","Travis Scott",959132,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
102,"If the World Was Ending - feat. Julia Michaels","JP Saxe",958147,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
103,"six thirty","Ariana Grande",949954,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
104,Falling,"Harry Styles",949583,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
105,Shallow,"Lady Gaga",942262,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
106,"Forever After All","Luke Combs",931903,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
107,"bad guy","Billie Eilish",930636,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
108,"Break My Heart","Dua Lipa",928345,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
109,obvious,"Ariana Grande",923821,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
110,"ily (i love you baby) (feat. Emilee)","Surf Mesa",923223,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
111,"Intentions (feat. Quavo)","Justin Bieber",922657,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
112,"Pretty Savage",BLACKPINK,915324,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
113,Tusa,"KAROL G",898629,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
114,"Spicy (feat. Post Malone)","Ty Dolla $ign",892854,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
115,Believer,"Imagine Dragons",887765,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
116,"Say You Won't Let Go","James Arthur",887746,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
117,Azul,"J Balvin",883434,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
118,"Electric Love",BØRNS,876270,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
119,"Papi Chulo",Octavian,870913,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
120,"Toosie Slide",Drake,869634,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
121,Whoopty,CJ,866971,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
122,"Life Is Good (feat. Drake)",Future,864331,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
123,Dior,"Pop Smoke",859978,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
124,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",859369,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
125,"SICKO MODE","Travis Scott",855934,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
126,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",846255,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
127,"Jocelyn Flores",XXXTENTACION,845598,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
128,"Someone To You",BANNERS,842619,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
129,"7 rings","Ariana Grande",839027,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
130,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,831951,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
131,ROXANNE,"Arizona Zervas",826688,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
132,"All Girls Are The Same","Juice WRLD",826637,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
133,"west side","Ariana Grande",824567,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
134,"love language","Ariana Grande",822914,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
135,"Party Girl",StaySolidRocky,809201,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
136,"Martin & Gina","Polo G",808880,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
137,"Blueberry Eyes (feat. SUGA of BTS)",MAX,805757,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
138,"Smile (with The Weeknd)","Juice WRLD",805676,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
139,"Djadja (feat. Maluma) - Remix","Aya Nakamura",805473,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
140,"Ride It",Regard,800257,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
141,"You Got It",Vedo,799215,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
142,"Jerusalema (feat. Nomcebo Zikode)","Master KG",783404,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
143,"everything i wanted","Billie Eilish",781685,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
144,"La Luz",Sech,779985,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
145,Perfect,"Ed Sheeran",779492,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
146,Enchule,"Rauw Alejandro",779335,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
147,"Be Alright","Dean Lewis",778953,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
148,"Quiéreme Mientras Se Pueda","Manuel Turizo",774045,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
149,"Daddy Issues","The Neighbourhood",770347,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
150,"Be Kind (with Halsey)",Marshmello,769627,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
151,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,768165,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
152,"Mr. Right Now (feat. Drake)","21 Savage",766317,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
153,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,764931,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
154,"hot girl bummer",blackbear,764512,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
155,"GREECE (feat. Drake)","DJ Khaled",756831,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
156,"All of Me","John Legend",754983,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
157,"Don Don","Daddy Yankee",754627,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
158,"All I Want for Christmas Is You","Mariah Carey",746550,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
159,"I Don't Care (with Justin Bieber)","Ed Sheeran",745694,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
160,"The Business",Tiësto,744470,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
161,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,736932,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
162,"Shape of You","Ed Sheeran",735545,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
163,SAD!,XXXTENTACION,733676,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
164,"Paradise (feat. Dermot Kennedy)",MEDUZA,725974,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
165,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",724645,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
166,"Godzilla (feat. Juice WRLD)",Eminem,722874,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
167,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",718781,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
168,"Hasta Que Dios Diga","Anuel AA",715878,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
169,"At My Worst","Pink Sweat$",712972,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
170,"Without Me",Halsey,711157,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
171,Rojo,"J Balvin",710153,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
172,"Still Don't Know My Name",Labrinth,709497,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
173,"rockstar (feat. 21 Savage)","Post Malone",707240,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
174,"Dancing With A Stranger (with Normani)","Sam Smith",705350,https://open.spotify.com/track/3xgT3xIlFGqZjYW9QlhJWp
175,Promiscuous,"Nelly Furtado",704520,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
176,"Are You Bored Yet? (feat. Clairo)",Wallows,703243,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
177,Favorito,Camilo,700432,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
178,"when the party's over","Billie Eilish",698334,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
179,"Say So","Doja Cat",693922,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
180,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",693491,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
181,Nada,"Cali Y El Dandee",691371,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
182,"Star Shopping","Lil Peep",690149,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
183,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,688487,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
184,"Got It On Me","Pop Smoke",685502,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
185,Runnin,"21 Savage",684082,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
186,"Get You The Moon (feat. Snøw)",Kina,681462,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
187,"Bohemian Rhapsody - 2011 Mix",Queen,680534,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
188,"Caramelo - Remix",Ozuna,678622,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
189,"Beautiful People (feat. Khalid)","Ed Sheeran",676314,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
190,Madrid,Maluma,668295,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
191,Photograph,"Ed Sheeran",668088,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
192,PRACTICE,DaBaby,666869,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
193,"24 (feat. Lil Baby)","Money Man",666145,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
194,"SLOW DANCING IN THE DARK",Joji,666135,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
195,"Blood // Water",grandson,664764,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
196,"In Your Eyes","The Weeknd",664302,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
197,"After Party","Don Toliver",663622,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
198,"10,000 Hours (with Justin Bieber)","Dan + Shay",661936,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
199,"It's You","Ali Gatie",659772,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
200,Safaera,"Bad Bunny",658179,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
