,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,Golden,"Harry Styles",1512096,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
54,"Chica Ideal","Sebastian Yatra",1495474,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
55,"Come & Go (with Marshmello)","Juice WRLD",1483940,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
56,"La Jeepeta - Remix","Nio Garcia",1428466,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
57,pov,"Ariana Grande",1428435,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
58,"POPSTAR (feat. Drake)","DJ Khaled",1424506,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
59,Sofia,Clairo,1413834,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
60,Daisy,Ashnikko,1394873,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
61,"Don't Start Now","Dua Lipa",1384423,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
62,"La Luz",Sech,1381488,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
63,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1374915,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
64,"Mi Cuarto","Jerry Di",1362119,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
65,"Blueberry Faygo","Lil Mosey",1317408,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
66,"Tyler Herro","Jack Harlow",1315722,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
67,"Lovesick Girls",BLACKPINK,1308784,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
68,"Wishing Well","Juice WRLD",1282188,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
69,"death bed (coffee for your head)",Powfu,1280113,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
70,Fever,"Dua Lipa",1264622,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
71,"How You Like That",BLACKPINK,1257900,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
72,Caramelo,Ozuna,1253993,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
73,Diamonds,"Sam Smith",1253608,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
74,"Deep End",Fousheé,1251756,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
75,goosebumps,"Travis Scott",1224370,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
76,Circles,"Post Malone",1218102,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
77,MORE,K/DA,1218066,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
78,"Rain On Me (with Ariana Grande)","Lady Gaga",1213833,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
79,Reloj,"Rauw Alejandro",1211473,https://open.spotify.com/track/7r9ZhitdQBONTFOiJW5mr8
80,"lovely (with Khalid)","Billie Eilish",1197226,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
81,"Lucid Dreams","Juice WRLD",1190742,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
82,"The Box","Roddy Ricch",1171121,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
83,Memories,"Maroon 5",1167229,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
84,"I CAN'T STOP ME",TWICE,1164821,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
85,Señorita,"Shawn Mendes",1164023,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
86,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1155304,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
87,"Train Wreck","James Arthur",1152318,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
88,"Adore You","Harry Styles",1151909,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
89,"Stuck with U (with Justin Bieber)","Ariana Grande",1149813,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
90,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1127410,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
91,"my ex's best friend (with blackbear)","Machine Gun Kelly",1126221,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
92,Robbery,"Juice WRLD",1106518,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
93,Falling,"Trevor Daniel",1096853,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
94,"Go Crazy","Chris Brown",1088880,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
95,"HIGHEST IN THE ROOM","Travis Scott",1082154,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
96,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",1076852,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
97,Tusa,"KAROL G",1055060,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
98,Shallow,"Lady Gaga",1048048,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
99,"Mad at Disney","salem ilese",1046408,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
100,"Tick Tock (feat. 24kGoldn)","Clean Bandit",1043670,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
101,"off the table (with The Weeknd)","Ariana Grande",1030377,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
102,Azul,"J Balvin",1028751,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
103,"Kings & Queens","Ava Max",1027405,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
104,"bad guy","Billie Eilish",1020158,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
105,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1015989,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
106,"Paradise (feat. Dermot Kennedy)",MEDUZA,1011345,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
107,"ily (i love you baby) (feat. Emilee)","Surf Mesa",998767,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
108,"Toosie Slide",Drake,996519,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
109,"All I Want for Christmas Is You","Mariah Carey",989339,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
110,"Break My Heart","Dua Lipa",988044,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
111,"Sweater Weather","The Neighbourhood",985665,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
112,"SICKO MODE","Travis Scott",985590,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
113,Believer,"Imagine Dragons",974744,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
114,"Jerusalema (feat. Nomcebo Zikode)","Master KG",968611,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
115,"just like magic","Ariana Grande",962832,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
116,"Intentions (feat. Quavo)","Justin Bieber",961670,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
117,Dior,"Pop Smoke",953452,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
118,ROXANNE,"Arizona Zervas",949242,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
119,"Life Is Good (feat. Drake)",Future,941137,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
120,Whoopty,CJ,939281,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
121,"Forever After All","Luke Combs",937085,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
122,"Party Girl",StaySolidRocky,929804,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
123,"If the World Was Ending - feat. Julia Michaels","JP Saxe",928716,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
124,"Papi Chulo",Octavian,924031,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
125,"Djadja (feat. Maluma) - Remix","Aya Nakamura",917552,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
126,"Investe Em Mim","Jonas Esticado",915892,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
127,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",910849,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
128,"All Girls Are The Same","Juice WRLD",904652,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
129,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,904429,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
130,Falling,"Harry Styles",901798,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
131,"The Business",Tiësto,896848,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
132,"Electric Love",BØRNS,893095,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
133,"Sweet Melody","Little Mix",892912,https://open.spotify.com/track/76Tuo484SLohJakHLnGI3B
134,"Ride It",Regard,890958,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
135,"Spicy (feat. Post Malone)","Ty Dolla $ign",888833,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
136,"ALWAYS DO","The Kid LAROI",888536,https://open.spotify.com/track/3QCU8BT0zDS9LPVfEhRFEE
137,FDT,YG,879139,https://open.spotify.com/track/6k0DJqW2v2e4809Z1zN0YU
138,Enchule,"Rauw Alejandro",876323,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
139,"Jocelyn Flores",XXXTENTACION,874368,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
140,"7 rings","Ariana Grande",870100,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
141,"safety net (feat. Ty Dolla $ign)","Ariana Grande",868575,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
142,"Say You Won't Let Go","James Arthur",865663,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
143,"Pretty Savage",BLACKPINK,862359,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
144,"Don Don","Daddy Yankee",859989,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
145,"Someone To You",BANNERS,854403,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
146,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",848928,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
147,"Smile (with The Weeknd)","Juice WRLD",848306,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
148,"Quiéreme Mientras Se Pueda","Manuel Turizo",837515,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
149,"Bohemian Rhapsody - 2011 Mix",Queen,831685,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
150,"Martin & Gina","Polo G",827574,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
151,"Took Her To The O","King Von",827395,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW
152,Perfect,"Ed Sheeran",826436,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
153,"Caramelo - Remix",Ozuna,822818,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
154,"GREECE (feat. Drake)","DJ Khaled",821593,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
155,"GO (feat. Juice WRLD)","The Kid LAROI",817924,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
156,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,816940,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
157,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",816590,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
158,"hot girl bummer",blackbear,816379,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
159,"Hasta Que Dios Diga","Anuel AA",814651,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
160,"TRAGIC (feat. Youngboy Never Broke Again & Internet Money)","The Kid LAROI",812413,https://open.spotify.com/track/13EW51DKru044OJDJ9Bm8o
161,"Young Wheezy (with Gunna)",NAV,811049,https://open.spotify.com/track/0bMyxvtbPa7HFemLjzw0xX
162,"The Code (feat. Polo G)","King Von",809640,https://open.spotify.com/track/5NOUjBikzECEJyZMTxtErD
163,"Shape of You","Ed Sheeran",808535,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
164,Runnin,"21 Savage",807388,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
165,SAD!,XXXTENTACION,806258,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
166,"Blueberry Eyes (feat. SUGA of BTS)",MAX,804897,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
167,"I Don't Care (with Justin Bieber)","Ed Sheeran",796744,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
168,Madrid,Maluma,796136,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
169,Promiscuous,"Nelly Furtado",794374,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
170,nasty,"Ariana Grande",791782,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
171,"shut up","Ariana Grande",791271,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
172,"You Got It",Vedo,789137,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
173,"Figurinha - Ao Vivo","Douglas & Vinicius",788486,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
