,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7693139,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",5259804,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4692604,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4354832,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3672939,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,"What You Know Bout Love","Pop Smoke",3557021,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3291913,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,Hawái,Maluma,3250937,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
9,"WAP (feat. Megan Thee Stallion)","Cardi B",3167926,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,"Blinding Lights","The Weeknd",3087810,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,34+35,"Ariana Grande",2925801,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
12,"Holy (feat. Chance The Rapper)","Justin Bieber",2913660,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
13,"Hawái - Remix",Maluma,2901971,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
14,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2827170,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
15,"Watermelon Sugar","Harry Styles",2755305,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
16,"Head & Heart (feat. MNEK)","Joel Corry",2683658,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"you broke me first","Tate McRae",2617571,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
18,"Relación - Remix",Sech,2409740,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
19,"Put Your Records On","Ritt Momney",2241603,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2194090,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2100910,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
22,"La Nota","Manuel Turizo",2087280,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
23,"Se Te Nota (with Guaynaa)","Lele Pons",2033615,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
24,Heather,"Conan Gray",2019501,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
