,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",5661259,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,Dakiti,"Bad Bunny",5058575,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
3,"Mood (feat. iann dior)",24kGoldn,4615879,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3945247,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,34+35,"Ariana Grande",3486962,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
6,"Lonely (with benny blanco)","Justin Bieber",3302811,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
7,"What You Know Bout Love","Pop Smoke",3246953,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
8,Dynamite,BTS,3191732,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
9,Hawái,Maluma,2943480,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
10,"WAP (feat. Megan Thee Stallion)","Cardi B",2916079,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"Blinding Lights","The Weeknd",2854982,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"Holy (feat. Chance The Rapper)","Justin Bieber",2690491,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2624440,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Watermelon Sugar","Harry Styles",2561896,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"you broke me first","Tate McRae",2514089,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"motive (with Doja Cat)","Ariana Grande",2456654,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
17,"Head & Heart (feat. MNEK)","Joel Corry",2395450,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
18,"Put Your Records On","Ritt Momney",2093039,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"Relación - Remix",Sech,2090480,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1994820,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,Heather,"Conan Gray",1988667,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1968956,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
23,pov,"Ariana Grande",1905869,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
24,Wonder,"Shawn Mendes",1889687,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
25,"off the table (with The Weeknd)","Ariana Grande",1882414,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
26,"Someone You Loved","Lewis Capaldi",1807583,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,"Se Te Nota (with Guaynaa)","Lele Pons",1793640,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
28,"La Tóxica",Farruko,1788649,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
29,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1775886,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
30,"Vida de Rico",Camilo,1762242,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
31,"just like magic","Ariana Grande",1753733,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
32,"Take You Dancing","Jason Derulo",1729648,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
33,"La Nota","Manuel Turizo",1707283,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
