,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
34,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1706442,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
35,"La Curiosidad","Jay Wheeler",1685701,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
36,"Levitating (feat. DaBaby)","Dua Lipa",1682763,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
37,"Before You Go","Lewis Capaldi",1633968,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"Roses - Imanbek Remix","SAINt JHN",1619029,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
39,"safety net (feat. Ty Dolla $ign)","Ariana Grande",1613513,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
40,"Una Locura",Ozuna,1586264,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
41,Jeans,"Justin Quiles",1571757,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
42,"Midnight Sky","Miley Cyrus",1570313,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
43,"Breaking Me",Topic,1561063,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
44,"shut up","Ariana Grande",1554198,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
45,"Dance Monkey","Tones And I",1519783,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
46,"Dreams - 2004 Remaster","Fleetwood Mac",1518508,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
47,nasty,"Ariana Grande",1505066,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
48,"Ice Cream (with Selena Gomez)",BLACKPINK,1500492,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
49,Despeinada,Ozuna,1458491,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
50,"Ay, DiOs Mío!","KAROL G",1454538,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
51,Golden,"Harry Styles",1435916,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
52,"Parce (feat. Justin Quiles)",Maluma,1418545,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
53,"Lovesick Girls",BLACKPINK,1411550,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
54,"my hair","Ariana Grande",1411515,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
55,"Come & Go (with Marshmello)","Juice WRLD",1400604,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
56,"POPSTAR (feat. Drake)","DJ Khaled",1383489,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
57,"Mi Niña",Wisin,1376640,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
58,"six thirty","Ariana Grande",1369217,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
59,Sofia,Clairo,1367123,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
60,Diamonds,"Sam Smith",1354356,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
61,Daisy,Ashnikko,1347574,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
62,"I CAN'T STOP ME",TWICE,1317606,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
63,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1304036,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
64,"Tyler Herro","Jack Harlow",1293656,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
65,"Tattoo - Remix with Camilo","Rauw Alejandro",1291768,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
66,"How You Like That",BLACKPINK,1279245,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
67,obvious,"Ariana Grande",1255158,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
68,"death bed (coffee for your head)",Powfu,1250221,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
69,"Don't Start Now","Dua Lipa",1247883,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
70,"La Jeepeta - Remix","Nio Garcia",1227335,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
71,MORE,K/DA,1217719,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
72,"Stuck with U (with Justin Bieber)","Ariana Grande",1180612,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
73,"Deep End",Fousheé,1179790,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
74,"love language","Ariana Grande",1167935,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
75,"west side","Ariana Grande",1167415,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
76,"Mi Cuarto","Jerry Di",1156289,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
77,Circles,"Post Malone",1155443,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
78,"Blueberry Faygo","Lil Mosey",1142044,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
79,"Wishing Well","Juice WRLD",1140379,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
80,"Rain On Me (with Ariana Grande)","Lady Gaga",1137826,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
81,"my ex's best friend (with blackbear)","Machine Gun Kelly",1135940,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
82,"Train Wreck","James Arthur",1120117,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
83,"Adore You","Harry Styles",1119143,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
84,Memories,"Maroon 5",1101919,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
85,"lovely (with Khalid)","Billie Eilish",1089633,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
86,Fever,"Dua Lipa",1087172,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
87,Caramelo,Ozuna,1082651,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
88,"Lucid Dreams","Juice WRLD",1077286,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
89,"SO DONE","The Kid LAROI",1066612,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
90,"Chica Ideal","Sebastian Yatra",1061215,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
91,goosebumps,"Travis Scott",1052365,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
92,"The Box","Roddy Ricch",1042095,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
93,Señorita,"Shawn Mendes",1039355,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
94,BICHOTA,"KAROL G",1038535,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
95,"Go Crazy","Chris Brown",1033752,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
96,"Mad at Disney","salem ilese",1033687,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
97,"Forever After All","Luke Combs",1032801,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
98,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1018107,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
99,Falling,"Trevor Daniel",1012280,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
100,Robbery,"Juice WRLD",988002,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
101,"Sweater Weather","The Neighbourhood",975546,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
102,"Tick Tock (feat. 24kGoldn)","Clean Bandit",969140,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
103,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",963998,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
104,Falling,"Harry Styles",963478,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
105,"If the World Was Ending - feat. Julia Michaels","JP Saxe",962676,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
106,"Kings & Queens","Ava Max",950114,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
107,Reloj,"Rauw Alejandro",949114,https://open.spotify.com/track/7r9ZhitdQBONTFOiJW5mr8
108,"HIGHEST IN THE ROOM","Travis Scott",948394,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
109,"Spicy (feat. Post Malone)","Ty Dolla $ign",947607,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
110,"Intentions (feat. Quavo)","Justin Bieber",941099,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
111,"bad guy","Billie Eilish",936180,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
112,"Pretty Savage",BLACKPINK,935130,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
113,Shallow,"Lady Gaga",931409,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
114,"ily (i love you baby) (feat. Emilee)","Surf Mesa",917685,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
115,Tusa,"KAROL G",913010,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
116,"Break My Heart","Dua Lipa",911554,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
117,"Say You Won't Let Go","James Arthur",896035,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
118,"All I Want for Christmas Is You","Mariah Carey",879570,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
119,"Electric Love",BØRNS,874853,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
120,Believer,"Imagine Dragons",871043,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
121,"Toosie Slide",Drake,866553,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
122,Azul,"J Balvin",859825,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
123,Whoopty,CJ,856914,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
124,"SICKO MODE","Travis Scott",854578,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
125,"Life Is Good (feat. Drake)",Future,852926,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
126,"Jocelyn Flores",XXXTENTACION,852033,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
127,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",851713,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
128,"Papi Chulo",Octavian,851445,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
129,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,845049,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
130,Dior,"Pop Smoke",841767,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
131,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",840866,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
132,"Recairei - Ao Vivo","Os Barões Da Pisadinha",837173,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
133,"7 rings","Ariana Grande",830569,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
134,"Someone To You",BANNERS,829890,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
135,"All Girls Are The Same","Juice WRLD",816364,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
136,ROXANNE,"Arizona Zervas",810766,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
137,"Smile (with The Weeknd)","Juice WRLD",807536,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
138,"Martin & Gina","Polo G",805806,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
139,"You Got It",Vedo,804149,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
140,"Blueberry Eyes (feat. SUGA of BTS)",MAX,802627,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
141,"Party Girl",StaySolidRocky,801609,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
142,"Djadja (feat. Maluma) - Remix","Aya Nakamura",793220,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
143,"Mr. Right Now (feat. Drake)","21 Savage",792979,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
144,"Be Alright","Dean Lewis",789205,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
145,"Jerusalema (feat. Nomcebo Zikode)","Master KG",787567,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
146,Enchule,"Rauw Alejandro",786167,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
147,"everything i wanted","Billie Eilish",784757,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
148,"Ride It",Regard,783457,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
149,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,780804,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
150,"Be Kind (with Halsey)",Marshmello,766092,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
151,"Don Don","Daddy Yankee",764527,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
152,Perfect,"Ed Sheeran",764139,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
153,"Daddy Issues","The Neighbourhood",763450,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
154,"hot girl bummer",blackbear,759659,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
155,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,755125,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
156,"All of Me","John Legend",752405,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
157,"GREECE (feat. Drake)","DJ Khaled",751999,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
158,Angeklagt,"Bonez MC",747899,https://open.spotify.com/track/5FLkxbVtsn88ejcLR62L4T
159,"Investe Em Mim","Jonas Esticado",739772,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
160,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",736390,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
161,"Dancing With A Stranger (with Normani)","Sam Smith",726902,https://open.spotify.com/track/3xgT3xIlFGqZjYW9QlhJWp
162,SAD!,XXXTENTACION,726284,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
163,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,724544,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
164,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",722834,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
165,"Quiéreme Mientras Se Pueda","Manuel Turizo",721678,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
166,"I Don't Care (with Justin Bieber)","Ed Sheeran",716858,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
167,Promiscuous,"Nelly Furtado",716003,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
168,"Still Don't Know My Name",Labrinth,715559,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
169,"Star Shopping","Lil Peep",714598,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
170,"Shape of You","Ed Sheeran",713442,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
171,"Godzilla (feat. Juice WRLD)",Eminem,710080,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
172,Rojo,"J Balvin",708571,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
173,"At My Worst","Pink Sweat$",705896,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
174,"Are You Bored Yet? (feat. Clairo)",Wallows,701292,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
175,"Got It On Me","Pop Smoke",700294,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
176,"Blood // Water",grandson,698972,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
177,"when the party's over","Billie Eilish",698753,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
178,Runnin,"21 Savage",697278,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
179,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",693252,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
180,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,693100,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
181,"rockstar (feat. 21 Savage)","Post Malone",691856,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
182,"Say So","Doja Cat",691652,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
183,"Without Me",Halsey,685477,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
184,"Get You The Moon (feat. Snøw)",Kina,685272,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
185,Favorito,Camilo,684815,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
186,"Bohemian Rhapsody - 2011 Mix",Queen,684812,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
187,"The Business",Tiësto,684631,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
188,"La Luz",Sech,684188,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
189,"Paradise (feat. Dermot Kennedy)",MEDUZA,680912,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
190,"SLOW DANCING IN THE DARK",Joji,678630,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
191,"Kids Again","Sam Smith",676868,https://open.spotify.com/track/1ABS9lKaZ1uXkXCqr9zFO7
192,Madrid,Maluma,674880,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
193,"In Your Eyes","The Weeknd",669990,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
194,"Caramelo - Remix",Ozuna,669243,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
195,"24 (feat. Lil Baby)","Money Man",669027,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
196,"How Do You Sleep?","Sam Smith",668487,https://open.spotify.com/track/34pRqzRiFcIuyRMuuEayzY
197,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",664812,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
198,"Bet You Wanna (feat. Cardi B)",BLACKPINK,662895,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
199,"Hasta Que Dios Diga","Anuel AA",662596,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
200,"Sunday Best",Surfaces,660699,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
