,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",5624715,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",5604245,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4685467,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4059514,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3474677,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,Dynamite,BTS,3331271,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
7,"What You Know Bout Love","Pop Smoke",3329334,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
8,34+35,"Ariana Grande",3293347,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
9,Hawái,Maluma,2958768,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
10,"WAP (feat. Megan Thee Stallion)","Cardi B",2950278,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"Blinding Lights","The Weeknd",2890370,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"Holy (feat. Chance The Rapper)","Justin Bieber",2803393,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2699974,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Watermelon Sugar","Harry Styles",2650749,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"you broke me first","Tate McRae",2606558,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"Head & Heart (feat. MNEK)","Joel Corry",2474618,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"motive (with Doja Cat)","Ariana Grande",2264173,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
18,"Put Your Records On","Ritt Momney",2162507,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"Relación - Remix",Sech,2150468,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2063610,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,Heather,"Conan Gray",2059004,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2025047,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
23,Wonder,"Shawn Mendes",1996944,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
24,"Someone You Loved","Lewis Capaldi",1878919,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"Se Te Nota (with Guaynaa)","Lele Pons",1857561,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
26,"La Tóxica",Farruko,1813408,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1798303,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
28,"Take You Dancing","Jason Derulo",1788257,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
29,"Levitating (feat. DaBaby)","Dua Lipa",1777162,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
30,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1771897,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
31,"Vida de Rico",Camilo,1768247,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
32,"La Nota","Manuel Turizo",1762331,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
33,pov,"Ariana Grande",1756793,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
34,"La Curiosidad","Jay Wheeler",1705701,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
35,"Before You Go","Lewis Capaldi",1700598,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,"off the table (with The Weeknd)","Ariana Grande",1663041,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
37,"Roses - Imanbek Remix","SAINt JHN",1661267,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
38,"Midnight Sky","Miley Cyrus",1634390,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
39,"Una Locura",Ozuna,1634341,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
40,"Breaking Me",Topic,1630558,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
41,Jeans,"Justin Quiles",1604175,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
42,"Ice Cream (with Selena Gomez)",BLACKPINK,1580944,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
43,"Dreams - 2004 Remaster","Fleetwood Mac",1563978,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
44,"Dance Monkey","Tones And I",1559090,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
