,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
121,"Intentions (feat. Quavo)","Justin Bieber",868259,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
122,"Pretty Savage",BLACKPINK,863572,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
123,Falling,"Harry Styles",857539,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
124,Believer,"Imagine Dragons",845193,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
125,Ghostbusters,"Ray Parker Jr.",841051,https://open.spotify.com/track/6thXB4RmajS4oZPNiBAKy0
126,"Investe Em Mim","Jonas Esticado",840919,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
127,"Djadja (feat. Maluma) - Remix","Aya Nakamura",840574,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
128,ROXANNE,"Arizona Zervas",836069,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
129,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",833087,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
130,"Life Is Good (feat. Drake)",Future,828218,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
131,"Party Girl",StaySolidRocky,820160,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
132,Dior,"Pop Smoke",817528,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
133,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",816529,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
134,"Say You Won't Let Go","James Arthur",810625,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
135,"Jocelyn Flores",XXXTENTACION,806533,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
136,"Highway to Hell",AC/DC,806308,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
137,"7 rings","Ariana Grande",802786,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
138,"Electric Love",BØRNS,797152,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
139,"Don Don","Daddy Yankee",791169,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
140,"Jerusalema (feat. Nomcebo Zikode)","Master KG",790154,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
141,Enchule,"Rauw Alejandro",786616,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
142,"Monster Mash","Bobby ""Boris"" Pickett",782084,https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
143,"All Girls Are The Same","Juice WRLD",781004,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
144,"Papi Chulo",Octavian,773187,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
145,"Smile (with The Weeknd)","Juice WRLD",763523,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
146,"Ride It",Regard,759909,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
147,"Someone To You",BANNERS,757382,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
148,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",756535,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
149,"Say So","Doja Cat",754797,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
150,Promiscuous,"Nelly Furtado",754070,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
151,Rojo,"J Balvin",750308,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
152,Whoopty,CJ,749280,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
153,"Mr. Right Now (feat. Drake)","21 Savage",744742,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
154,Safaera,"Bad Bunny",737674,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
155,"hot girl bummer",blackbear,734293,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
156,"Caramelo - Remix",Ozuna,731114,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
157,Perfect,"Ed Sheeran",730103,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
158,"Martin & Gina","Polo G",727380,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
159,"GREECE (feat. Drake)","DJ Khaled",725698,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
160,"Bohemian Rhapsody - 2011 Mix",Queen,723602,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
161,"everything i wanted","Billie Eilish",723521,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
162,"Be Alright","Dean Lewis",721783,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
163,"Quiéreme Mientras Se Pueda","Manuel Turizo",715235,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
164,"You Got It",Vedo,715001,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
165,SAD!,XXXTENTACION,714074,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
166,"Yo Perreo Sola","Bad Bunny",713538,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
167,Madrid,Maluma,706367,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
168,"All of Me","John Legend",706195,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
169,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,705885,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
170,"Blueberry Eyes (feat. SUGA of BTS)",MAX,702806,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
171,"Shape of You","Ed Sheeran",697168,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
172,Favorito,Camilo,696908,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
173,"Hasta Que Dios Diga","Anuel AA",687135,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
174,"Be Kind (with Halsey)",Marshmello,686564,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
175,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,683944,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
176,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,682390,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
177,Relación,Sech,681869,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
178,"Sweet but Psycho","Ava Max",678479,https://open.spotify.com/track/3tNE4i6TBqMdyTZxHDAn9B
179,"Daddy Issues","The Neighbourhood",677046,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
180,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",675507,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
181,"rockstar (feat. 21 Savage)","Post Malone",673872,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
182,"Got It On Me","Pop Smoke",669357,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
183,"Oh Juliana",Niack,668793,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
184,"I Don't Care (with Justin Bieber)","Ed Sheeran",667954,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
185,"Godzilla (feat. Juice WRLD)",Eminem,667447,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
186,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",667215,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
187,"Still Don't Know My Name",Labrinth,664043,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
188,"Me Gusta (with Cardi B & Myke Towers)",Anitta,662455,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
189,"Figurinha - Ao Vivo","Douglas & Vinicius",658877,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
190,"Basta Você Me Ligar (feat. Xand Avião) - Ao Vivo","Os Barões Da Pisadinha",655974,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
191,Runnin,"21 Savage",655534,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
192,"CÓMO SE SIENTE - Remix","Jhay Cortez",654794,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
193,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,652742,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
194,"Blood // Water",grandson,650850,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
195,"After Party","Don Toliver",650249,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
196,"Star Shopping","Lil Peep",646273,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
197,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",645762,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
198,"In Your Eyes","The Weeknd",643196,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
199,"Sunday Best",Surfaces,642959,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
200,Angeklagt,"Bonez MC",641530,https://open.spotify.com/track/5FLkxbVtsn88ejcLR62L4T
