,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",5102504,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,"Mood (feat. iann dior)",24kGoldn,4565504,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,Dakiti,"Bad Bunny",4274780,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3724253,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,34+35,"Ariana Grande",3242620,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
6,Hawái,Maluma,3179992,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
7,"WAP (feat. Megan Thee Stallion)","Cardi B",3133269,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
8,Dynamite,BTS,3098232,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
9,"Blinding Lights","The Weeknd",3027286,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"What You Know Bout Love","Pop Smoke",3002308,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
11,"Lonely (with benny blanco)","Justin Bieber",2765449,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2567915,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"Holy (feat. Chance The Rapper)","Justin Bieber",2492288,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
14,"Watermelon Sugar","Harry Styles",2449904,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"you broke me first","Tate McRae",2305724,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"motive (with Doja Cat)","Ariana Grande",2300515,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
17,"Head & Heart (feat. MNEK)","Joel Corry",2234770,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
18,"Relación - Remix",Sech,2232523,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
19,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1972733,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
20,"Put Your Records On","Ritt Momney",1970825,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
21,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1926400,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
22,"La Tóxica",Farruko,1916229,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
23,"Se Te Nota (with Guaynaa)","Lele Pons",1858002,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
24,"Vida de Rico",Camilo,1839041,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
25,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1823366,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
26,"off the table (with The Weeknd)","Ariana Grande",1799008,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
27,"La Curiosidad","Jay Wheeler",1786469,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
28,Heather,"Conan Gray",1784798,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
29,pov,"Ariana Grande",1720617,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
30,"La Nota","Manuel Turizo",1697440,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
31,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1697196,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
32,"Roses - Imanbek Remix","SAINt JHN",1694587,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
33,Wonder,"Shawn Mendes",1693555,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
34,"Someone You Loved","Lewis Capaldi",1668363,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,"just like magic","Ariana Grande",1643533,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
36,Jeans,"Justin Quiles",1632067,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
37,"Una Locura",Ozuna,1625786,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
38,"Levitating (feat. DaBaby)","Dua Lipa",1608760,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
39,"Take You Dancing","Jason Derulo",1593620,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
40,"Dreams - 2004 Remaster","Fleetwood Mac",1560667,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
41,"Dance Monkey","Tones And I",1533137,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
42,"Ay, DiOs Mío!","KAROL G",1529548,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
43,"safety net (feat. Ty Dolla $ign)","Ariana Grande",1513206,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
44,"shut up","Ariana Grande",1505730,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
45,"Midnight Sky","Miley Cyrus",1489318,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
46,Despeinada,Ozuna,1488998,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
47,"Breaking Me",Topic,1488932,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
48,"Before You Go","Lewis Capaldi",1464439,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
49,"Parce (feat. Justin Quiles)",Maluma,1456757,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
50,nasty,"Ariana Grande",1423607,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
51,"Ice Cream (with Selena Gomez)",BLACKPINK,1399739,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
52,"Tattoo - Remix with Camilo","Rauw Alejandro",1375146,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
53,"POPSTAR (feat. Drake)","DJ Khaled",1363702,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
54,"Mi Niña",Wisin,1363450,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
55,"La Jeepeta - Remix","Nio Garcia",1351963,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
56,"Come & Go (with Marshmello)","Juice WRLD",1342587,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
57,"my hair","Ariana Grande",1340993,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
58,"Lovesick Girls",BLACKPINK,1318182,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
59,Golden,"Harry Styles",1309179,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
60,"six thirty","Ariana Grande",1306143,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
61,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1285916,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
62,Daisy,Ashnikko,1247472,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
63,"death bed (coffee for your head)",Powfu,1219490,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
64,"Mi Cuarto","Jerry Di",1219423,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
65,"How You Like That",BLACKPINK,1214104,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
66,"I CAN'T STOP ME",TWICE,1203184,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
67,"Tyler Herro","Jack Harlow",1199604,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
68,"Don't Start Now","Dua Lipa",1199029,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
69,Sofia,Clairo,1198679,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
70,Diamonds,"Sam Smith",1194216,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
71,obvious,"Ariana Grande",1175370,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
72,Thriller,"Michael Jackson",1165220,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
73,"Blueberry Faygo","Lil Mosey",1163133,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
74,MORE,K/DA,1157649,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
75,Caramelo,Ozuna,1148497,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
76,"love language","Ariana Grande",1112344,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
77,"west side","Ariana Grande",1112053,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
78,"bad guy","Billie Eilish",1111362,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
79,"Wishing Well","Juice WRLD",1105000,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
80,Circles,"Post Malone",1089554,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
81,"Deep End",Fousheé,1088328,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
82,goosebumps,"Travis Scott",1067237,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
83,"Stuck with U (with Justin Bieber)","Ariana Grande",1065127,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
84,"The Box","Roddy Ricch",1060443,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
85,"Lucid Dreams","Juice WRLD",1054950,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
86,"Rain On Me (with Ariana Grande)","Lady Gaga",1053981,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
87,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1043364,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
88,"Chica Ideal","Sebastian Yatra",1042331,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
89,Memories,"Maroon 5",1036024,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
90,"my ex's best friend (with blackbear)","Machine Gun Kelly",1026190,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
91,"Adore You","Harry Styles",1019855,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
92,Señorita,"Shawn Mendes",1018901,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
93,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1005674,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
94,"lovely (with Khalid)","Billie Eilish",1000548,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
95,BICHOTA,"KAROL G",996700,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
96,"Go Crazy","Chris Brown",992752,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
97,Tusa,"KAROL G",991174,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
98,Falling,"Trevor Daniel",990801,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
99,Fever,"Dua Lipa",987853,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
100,"Train Wreck","James Arthur",986690,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
101,"SICKO MODE","Travis Scott",974432,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
102,Robbery,"Juice WRLD",962704,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
103,Azul,"J Balvin",949754,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
104,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",944135,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
105,"Mad at Disney","salem ilese",942724,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
106,"HIGHEST IN THE ROOM","Travis Scott",941082,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
107,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,936905,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
108,"SO DONE","The Kid LAROI",922788,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
109,Reloj,"Rauw Alejandro",914002,https://open.spotify.com/track/7r9ZhitdQBONTFOiJW5mr8
110,"Forever After All","Luke Combs",909446,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
111,Shallow,"Lady Gaga",907298,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
112,"Tick Tock (feat. 24kGoldn)","Clean Bandit",899988,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
113,"ily (i love you baby) (feat. Emilee)","Surf Mesa",895716,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
114,"Kings & Queens","Ava Max",888969,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
115,"Toosie Slide",Drake,886452,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
116,"All I Want for Christmas Is You","Mariah Carey",882541,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
117,"Sweater Weather","The Neighbourhood",877815,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
118,"Break My Heart","Dua Lipa",873424,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
119,"Spicy (feat. Post Malone)","Ty Dolla $ign",871133,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
120,"If the World Was Ending - feat. Julia Michaels","JP Saxe",868953,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
